Name, Url, Fields, Locations
Energid, https://www.energid.com/, Robotics SDK, Cambridge (Massachusetts)
Dividiti Ltd., http://www.dividiti.com/, "Machine Learning, Deep Learning", Cambridge (UK)
Torc Robotics, https://torc.ai/, Self-Driving Technologies, Blacksburg (Virginia)
Kompaï Robotics, http://robosticsolutions.com/, Robotics, Bidart
Plant Vision, https://www.plantvision.org/, Computer Vision, ?
Aptomica, http://www.aptomica.com/, Robotics, ?
Navya, https://navya.tech/, Self-Driving Technology, "Lyon, Paris"
Nexvision, https://nexvision.fr/, Sensors, Marseille
Dibotics, http://www.dibotics.com/, Self-Driving Technologies, Paris
Macco Robotics, https://www.maccorobotics.com, Service Robotics, "Sevilla, Madrid, Barcelona, London"
Wessling Robotics GmbH, http://www.wessling-robotics.de/, Robotics, Wessling
Paperspace, https://www.paperspace.com, "Machine Learning, Deep Learning", "Brooklyn, ?"
OlisTM Robotics, https://www.olisrobotics.com/, Robotics SDK, Seattle
INSTAR Robotics, https://instar-robotics.com/, Agriculture Robotics, Pontoise
SYNTIANT™, https://www.syntiant.com/, "Machine Learning, Semiconductor", Irvine (California)
Partnering Robotics, https://partnering-robotics.com/, Robotics, Cergy
Hexagon Mining, https://hexagonmining.com/, Mining, "Oslo, Baar (Switzerland), Johannesburg, Brisbane, ..."
CognitiveScale, https://www.cognitivescale.com/, Machine Learning, "Austin, London, Hyderabad, New York"
Conversica, https://www.conversica.com/, Machine Learning, "Foster City (California), Bellingham (Washington), Seattle, London, ..."
DataRobot, https://www.datarobot.com/, Machine Learning, Boston
Element AI, https://www.elementai.com/, "Machine Learning, Deep Learning", "Montreal, Toronto, London, Seoul, Singapore"
Habana, https://habana.ai/, "Deep Learning, Chip", "San-Jose, Tel-Aviv, Gdansk, Beijing"
H2O.ai, https://www.h2o.ai/, Machine Learning, "Mountain View, New York, Prague"
Moogsoft, https://www.moogsoft.com/, Machine Learning, "San Francisco, Los Altos, Denver, London"
SparkCognition, https://www.sparkcognition.com/, Machine Learning, "Austin, Dubai"
Deep C, http://www.deepcgroup.com/, Robotics, "Kristiansund, Aberdeen, Harlingen (The Netherlands)"
Actronika, https://www.actronika.com/, Haptics, Paris
Ingenarius, https://ingeniarius.pt/, Robotics, Coimbra
Deepixel, http://deepixel.azurewebsites.net/, "Augmented Reality, Virtual Reality", Seoul
It-Jim, https://it-jim.com/, "Computer Vision, Augmented Reality", ?
MV ROBOT, http://mv-robot.com/, Service Robotics, Bry-sur-Marne
Fetch.AI, https://fetch.ai/, Machine Learning, Cambridge (UK)
Aubo Robotics, https://aubo-robotics.com/, Industrial Robotics, "Knoxville, Bejing"
PlusAI, https://plus.ai/en/, Self-Driving Technologies, "Cupertino, Suzhou, Beijing"
Multicore Ware, https://multicorewareinc.com/, "Self-Driving Technologies, Machine Learning", "San Jose, Champaign, St. Louis, Changchun, Beijin, Chennai"
HypeVR, https://hypevr.com/, Virtual Reality, Los Angeles
Nuro, https://nuro.ai/, Self-Driving Technologies, "Mountain View, Houston"
Pix4D, https://www.pix4d.com/, 3D Reconstruction, "Lausanne, San Francisco, Shanghai , Berlin, Madrid"
Scandit, https://www.scandit.com/, Computer Vision, "San Francisco, Zurich, Boston, London , Warsaw"
Sherpa Engineering, https://www.sherpa-eng.com/, Automation, La Garenne-Colombes
mentalista, https://mentalista.fr, Brain IHM, Paris
Enway, http://enway.ai/, Robotics, "Singapore, Berlin"
IAI, https://www.i-a-i.com/, Automation, Rockville (Maryland)
Tesseract Solutions, https://www.tesseract-solutions.fr/, Industrial Robotics, Amiens
SUALAB, http://www.sualab.com/, Deep Learning, "Seoul , Suzhou"
Fixstars, https://www.fixstars.com/en/, Chip, Tokyo
iCetana , https://icetana.com/, Machine Learning, "Australia, Dubai, Irvine (California), Bristol"
Abyss Solutions, http://abysssolutions.co/, Underwater Robotics, Homebush (Sydney)
CapSen Robotics, http://www.capsenrobotics.com/, Industrial Robotics, Pittsburgh
DENSO Robotics, https://www.densorobotics-europe.com/, Industrial Robotics, "Walldorf (Germany), ..."
Acutronic Robotics, https://acutronicrobotics.com/, Robotics, "Bubikon (Switzerland), Vitoria (Spain)"
Perfect, https://www.perfectcorp.com/, Augmented Reality, San Jose
Agile Robots, http://agile-robots.com/, Robotics, Gilching
SpaceKnow, https://www.spaceknow.com/, "Machine Learning, Geospatial Analytics", San Francisco
Niantic, https://nianticlabs.com/, Augmented Reality, "San Francisco, Sunnyvale, Bellevue, Los Angeles, London, Tokyo, Hamburg"
Diota, http://www.diota.com/index.php/en/, Industrial Robotics Software, Verrières-le-Buisson
Nviso, https://www.nviso-insights.com/en, Deep Learning, Lausanne
Mirsee Robotics Inc., https://mirsee.com/, "Deep Learning, Vision Sensors", Cambridge (Canada)
loopbio, http://loopbio.com/, Computer Vision, Kritzendorf (Austria)
Sevensense Robotics AG, https://sevensense.ch/, Industrial Robotics, Zurich
Contilio, http://www.contilio.com/, Machine Learning, London
Kudan, https://www.kudan.io/, Computer Vision, Japan
FØCAL, https://www.f0cal.com/, Computer Vision, Cambridge (Massachusetts)
UBTECH Robotics, https://ubtrobot.com/, Robotics, "Shenzhen, Montigny-le-Montigny, Los Angeles"
Robot Robots Company, http://www.robotrobotscompany.com/, Robotics, The Hague
Four Growers, https://fourgrowers.co/, Agriculture Robotics, Pittsburgh
Reliable, http://www.reliable.co/, Drone, Mountain View
robodev GmbH , https://robodev.com/, Robotics, Karlsruhe
CortexRecognition, https://recognitionrobotics.com/, Machine Vision, "Ohio, Michigan, Assago (Italy)"
XXII, https://www.xxii.fr/, "Machine Learning, Deep Learning", Suresnes
Agility Robotics, http://www.agilityrobotics.com/, Robotics, Albany (Oregon)
Houston Mechatronics, https://www.houstonmechatronics.com/, Underwater Robotics, Webster (Texas)
Corvus Robotics, https://www.corvus-robotics.com/, Drone, US?
Univrses, https://univrses.com/, "Machine Learning, Computer Vision", Södermalm
Squadrone System, https://squadrone-system.com/, Drone, "San Francisco, Grenoble"
HeronRobots, http://www.heronrobots.com/, Robotics, Genova
Maritime Robotics, https://maritime-robotics.homerun.co/, Robotics, Trondheim
Roam, https://www.roamrobotics.com, Exoskeleton, San Francisco
deepsense.ai, https://deepsense.ai/, "Machine Learning, Deep Learning", "Palo Alto, Warsaw"
Inuitive, http://www.inuitive-tech.com/, Chip, "Raanana (Israel), Shenzhen"
Occipital, https://occipital.com/, Vision Sensors, "San Francisco, Boulder, Gainesville, Madrid"
